Date,,Temp
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.218
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.163
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.19
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.135
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.135
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.135
01/01/2017,,0.135
01/01/2017,,0.135
01/01/2017,,0.135
01/01/2017,,0.163
01/01/2017,,0.163
01/01/2017,,0.135
01/01/2017,,0.135
01/01/2017,,0.135
01/01/2017,,0.135
01/01/2017,,0.135
01/01/2017,,0.135
01/01/2017,,0.135
01/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.163
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.163
02/01/2017,,0.163
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
02/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.163
03/01/2017,,0.163
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.135
03/01/2017,,0.163
03/01/2017,,0.135
03/01/2017,,0.135
