Date,Time,Temp
01/01/2012,00:02:00,0.329
01/01/2012,00:32:00,0.329
01/01/2012,01:02:00,0.356
01/01/2012,01:32:00,0.329
01/01/2012,02:02:00,0.329
01/01/2012,02:32:00,0.356
01/01/2012,03:02:00,0.329
01/01/2012,03:32:00,0.356
01/01/2012,04:02:00,0.356
01/01/2012,04:32:00,0.356
01/01/2012,05:02:00,0.356
01/01/2012,05:32:00,0.356
01/01/2012,06:02:00,0.356
01/01/2012,06:32:00,0.356
01/01/2012,07:02:00,0.356
01/01/2012,07:32:00,0.356
01/01/2012,08:02:00,0.356
01/01/2012,08:32:00,0.356
01/01/2012,09:02:00,0.356
01/01/2012,09:32:00,0.356
01/01/2012,10:02:00,0.356
01/01/2012,10:32:00,0.356
01/01/2012,11:02:00,0.356
01/01/2012,11:32:00,0.384
01/01/2012,12:02:00,0.384
01/01/2012,12:32:00,0.384
01/01/2012,13:02:00,0.384
01/01/2012,13:32:00,0.384
01/01/2012,14:02:00,0.384
01/01/2012,14:32:00,0.384
01/01/2012,15:02:00,0.384
01/01/2012,15:32:00,0.384
01/01/2012,16:02:00,0.356
01/01/2012,16:32:00,0.356
01/01/2012,17:02:00,0.384
01/01/2012,17:32:00,0.356
01/01/2012,18:02:00,0.384
01/01/2012,18:32:00,0.384
01/01/2012,19:02:00,0.356
01/01/2012,19:32:00,0.356
01/01/2012,20:02:00,0.356
01/01/2012,20:32:00,0.356
01/01/2012,21:02:00,0.384
01/01/2012,21:32:00,0.356
01/01/2012,22:02:00,0.384
01/01/2012,22:32:00,0.384
01/01/2012,23:02:00,0.384
01/01/2012,23:32:00,0.384
02/01/2012,00:02:00,0.384
02/01/2012,00:32:00,0.384
02/01/2012,01:02:00,0.384
02/01/2012,01:32:00,0.384
02/01/2012,02:02:00,0.384
02/01/2012,02:32:00,0.384
02/01/2012,03:02:00,0.384
02/01/2012,03:32:00,0.384
02/01/2012,04:02:00,0.384
02/01/2012,04:32:00,0.384
02/01/2012,05:02:00,0.384
02/01/2012,05:32:00,0.356
02/01/2012,06:02:00,0.356
02/01/2012,06:32:00,0.356
02/01/2012,07:02:00,0.356
02/01/2012,07:32:00,0.356
02/01/2012,08:02:00,0.356
02/01/2012,08:32:00,0.356
02/01/2012,09:02:00,0.356
02/01/2012,09:32:00,0.356
02/01/2012,10:02:00,0.356
02/01/2012,10:32:00,0.356
02/01/2012,11:02:00,0.356
02/01/2012,11:32:00,0.356
02/01/2012,12:02:00,0.356
02/01/2012,12:32:00,0.356
02/01/2012,13:02:00,0.356
02/01/2012,13:32:00,0.356
02/01/2012,14:02:00,0.356
02/01/2012,14:32:00,0.356
02/01/2012,15:02:00,0.356
02/01/2012,15:32:00,0.356
02/01/2012,16:02:00,0.356
02/01/2012,16:32:00,0.356
02/01/2012,17:02:00,0.356
02/01/2012,17:32:00,0.356
02/01/2012,18:02:00,0.356
02/01/2012,18:32:00,0.356
02/01/2012,19:02:00,0.356
02/01/2012,19:32:00,0.356
02/01/2012,20:02:00,0.356
02/01/2012,20:32:00,0.356
02/01/2012,21:02:00,0.356
02/01/2012,21:32:00,0.356
02/01/2012,22:02:00,0.356
02/01/2012,22:32:00,0.329
02/01/2012,23:02:00,0.356
02/01/2012,23:32:00,0.356
03/01/2012,00:02:00,0.356
03/01/2012,00:32:00,0.356
03/01/2012,01:02:00,0.356
03/01/2012,01:32:00,0.356
03/01/2012,02:02:00,0.329
03/01/2012,02:32:00,0.356
03/01/2012,03:02:00,0.356
03/01/2012,03:32:00,0.356
03/01/2012,04:02:00,0.356
03/01/2012,04:32:00,0.356
03/01/2012,05:02:00,0.356
03/01/2012,05:32:00,0.356
03/01/2012,06:02:00,0.356
03/01/2012,06:32:00,0.356
03/01/2012,07:02:00,0.356
03/01/2012,07:32:00,0.356
03/01/2012,08:02:00,0.356
03/01/2012,08:32:00,0.356
03/01/2012,09:02:00,0.356
03/01/2012,09:32:00,0.329
03/01/2012,10:02:00,0.356
03/01/2012,10:32:00,0.356
03/01/2012,11:02:00,0.356
03/01/2012,11:32:00,0.356
03/01/2012,12:02:00,0.356
03/01/2012,12:32:00,0.356
03/01/2012,13:02:00,0.356
03/01/2012,13:32:00,0.356
03/01/2012,14:02:00,0.356
03/01/2012,14:32:00,0.356
03/01/2012,15:02:00,0.356
03/01/2012,15:32:00,0.329
03/01/2012,16:02:00,0.356
03/01/2012,16:32:00,0.329
03/01/2012,17:02:00,0.329
03/01/2012,17:32:00,0.329
03/01/2012,18:02:00,0.356
03/01/2012,18:32:00,0.356
03/01/2012,19:02:00,0.356
03/01/2012,19:32:00,0.356
03/01/2012,20:02:00,0.356
03/01/2012,20:32:00,0.356
03/01/2012,21:02:00,0.356
03/01/2012,21:32:00,0.356
03/01/2012,22:02:00,0.356
03/01/2012,22:32:00,0.356
03/01/2012,23:02:00,0.356
03/01/2012,23:32:00,0.356
04/01/2012,00:02:00,0.356
04/01/2012,00:32:00,0.356
04/01/2012,01:02:00,0.356
