"","Date","Max","Min"
"1","21/07/2013",21.533,21.008
"2","22/07/2013",27.038,13.112
"3","23/07/2013",17.201,13.594
"4","24/07/2013",17.748,13.954
"5","25/07/2013",18.366,14.505
"6","26/07/2013",18.985,15.151
"7","27/07/2013",17.486,15.247
"8","28/07/2013",16.868,14.864
"9","29/07/2013",17.439,14.17
"10","30/07/2013",18.961,14.002
"11","31/07/2013",19.888,14.864
"12","01/08/2013",19.817,15.796
"13","02/08/2013",19.912,16.296
"14","03/08/2013",20.579,17.463
"15","04/08/2013",22.274,17.772
"16","05/08/2013",21.867,17.629
"17","06/08/2013",20.293,18.105
"18","07/08/2013",18.628,16.606
"19","08/08/2013",16.558,13.906
"20","09/08/2013",17.558,12.944
"21","10/08/2013",19.222,13.57
"22","11/08/2013",19.77,15.055
"23","12/08/2013",19.603,16.296
"24","13/08/2013",16.987,15.366
"25","14/08/2013",16.153,14.673
"26","15/08/2013",18.818,13.666
"27","16/08/2013",18.675,15.008
"28","17/08/2013",19.175,15.079
"29","18/08/2013",19.698,14.984
"30","19/08/2013",17.724,15.819
"31","20/08/2013",18.794,14.098
"32","21/08/2013",20.055,14.361
"33","22/08/2013",19.508,15.008
"34","23/08/2013",20.698,15.939
"35","24/08/2013",18.247,15.318
"36","25/08/2013",18.176,13.93
"37","26/08/2013",16.511,14.96
"38","27/08/2013",15.127,14.17
"39","28/08/2013",14.242,12.871
"40","29/08/2013",13.473,12.074
"41","30/08/2013",13.642,11.88
"42","31/08/2013",13.546,11.832
"43","01/09/2013",13.425,11.297
"44","02/09/2013",14.816,11.321
"45","03/09/2013",16.511,12.001
"46","04/09/2013",17.962,12.92
"47","05/09/2013",18.01,13.522
"48","06/09/2013",15.629,14.29
"49","07/09/2013",14.385,12.823
"50","08/09/2013",13.473,11.929
"51","09/09/2013",14.984,11.053
"52","10/09/2013",14.385,12.799
"53","11/09/2013",12.823,11.127
"54","12/09/2013",13.016,10.516
"55","13/09/2013",14.218,11.151
"56","14/09/2013",14.529,11.102
"57","15/09/2013",12.944,11.856
"58","16/09/2013",13.81,10.712
"59","17/09/2013",11.783,10.638
"60","18/09/2013",11.2,9.854
"61","19/09/2013",11.637,9.903
"62","20/09/2013",11.127,9.854
"63","21/09/2013",12.413,9.361
"64","22/09/2013",12.292,9.312
"65","23/09/2013",12.896,9.928
"66","24/09/2013",13.185,10.565
"67","25/09/2013",13.377,10.883
"68","26/09/2013",14.649,11.443
"69","27/09/2013",14.457,11.88
"70","28/09/2013",13.137,11.492
"71","29/09/2013",11.443,10.565
"72","30/09/2013",12.195,10.124
"73","01/10/2013",11.443,10.32
"74","02/10/2013",12.534,10.614
"75","03/10/2013",11.686,10.98
"76","04/10/2013",11.005,9.139
"77","05/10/2013",9.064,7.67
"78","06/10/2013",7.619,6.889
"79","07/10/2013",7.995,6.255
"80","08/10/2013",8.444,6.433
"81","09/10/2013",8.295,6.864
"82","10/10/2013",7.469,6.458
"83","11/10/2013",6.839,5.462
