"","Date","Max","Min"
"1","01/01/2010",1.588,1.126
"2","02/01/2010",1.289,1.044
"3","03/01/2010",1.208,0.907
"4","04/01/2010",0.934,0.66
"5","05/01/2010",0.88,0.66
"6","06/01/2010",0.88,0.55
"7","07/01/2010",0.797,0.218
"8","08/01/2010",0.495,0.163
"9","09/01/2010",0.715,0.329
"10","10/01/2010",0.742,0.522
"11","11/01/2010",0.77,0.55
"12","12/01/2010",0.687,0.522
"13","13/01/2010",0.632,0.467
"14","14/01/2010",0.797,0.079
"15","15/01/2010",0.329,0.218
"16","16/01/2010",0.301,0.163
"17","17/01/2010",0.439,0.273
"18","18/01/2010",0.439,0.356
"19","19/01/2010",0.412,0.301
"20","20/01/2010",0.467,0.301
"21","21/01/2010",0.356,0.301
"22","22/01/2010",0.412,0.301
"23","23/01/2010",0.329,0.301
"24","24/01/2010",0.384,0.301
"25","25/01/2010",0.356,0.301
"26","26/01/2010",0.384,0.273
"27","27/01/2010",0.329,0.273
"28","28/01/2010",0.301,0.273
"29","29/01/2010",0.301,0.246
"30","30/01/2010",0.301,0.218
"31","31/01/2010",0.301,0.246
"32","01/02/2010",0.301,0.218
"33","02/02/2010",0.329,0.273
"34","03/02/2010",0.329,0.246
"35","04/02/2010",0.329,0.246
"36","05/02/2010",0.273,0.218
"37","06/02/2010",0.273,0.19
"38","07/02/2010",0.273,0.19
"39","08/02/2010",0.273,0.19
"40","09/02/2010",0.273,0.218
"41","10/02/2010",0.273,0.218
"42","11/02/2010",0.273,0.163
"43","12/02/2010",0.273,0.163
"44","13/02/2010",0.246,0.163
"45","14/02/2010",0.246,0.163
"46","15/02/2010",0.246,0.19
"47","16/02/2010",0.246,0.218
"48","17/02/2010",0.218,0.19
"49","18/02/2010",0.246,0.19
"50","19/02/2010",0.246,0.135
"51","20/02/2010",0.246,0.163
"52","21/02/2010",0.218,0.19
"53","22/02/2010",0.246,0.19
"54","23/02/2010",0.246,0.135
"55","24/02/2010",0.218,0.135
"56","25/02/2010",0.246,0.163
"57","26/02/2010",0.19,0.135
"58","27/02/2010",0.19,0.107
"59","28/02/2010",0.412,0.19
"60","01/03/2010",0.301,0.246
"61","02/03/2010",0.246,0.163
"62","03/03/2010",0.218,0.19
"63","04/03/2010",0.19,0.19
"64","05/03/2010",0.218,0.107
"65","06/03/2010",0.218,0.163
"66","07/03/2010",0.218,0.163
"67","08/03/2010",0.19,0.079
"68","09/03/2010",0.19,0.079
"69","10/03/2010",0.19,0.107
"70","11/03/2010",0.218,0.19
"71","12/03/2010",0.19,0.079
"72","13/03/2010",0.19,0.135
"73","14/03/2010",0.19,0.163
"74","15/03/2010",0.19,0.135
"75","16/03/2010",0.163,0.163
"76","17/03/2010",0.163,0.163
"77","18/03/2010",0.163,0.135
"78","19/03/2010",0.218,0.135
"79","20/03/2010",0.66,0.135
"80","21/03/2010",0.825,0.384
"81","22/03/2010",0.439,0.384
"82","23/03/2010",0.384,0.301
"83","24/03/2010",0.384,0.301
"84","25/03/2010",0.467,0.384
"85","26/03/2010",0.522,0.412
"86","27/03/2010",0.439,0.356
"87","28/03/2010",0.412,0.356
"88","29/03/2010",0.356,0.301
"89","30/03/2010",0.356,0.246
"90","31/03/2010",0.384,0.329
"91","01/04/2010",0.384,0.301
"92","02/04/2010",0.356,0.273
"93","03/04/2010",0.356,0.301
"94","04/04/2010",0.301,0.273
"95","05/04/2010",0.301,0.246
"96","06/04/2010",0.273,0.246
"97","07/04/2010",0.301,0.218
"98","08/04/2010",0.246,0.135
"99","09/04/2010",0.301,0.246
"100","10/04/2010",0.301,0.246
"101","11/04/2010",0.273,0.19
"102","12/04/2010",0.329,0.246
"103","13/04/2010",0.356,0.273
"104","14/04/2010",0.384,0.301
"105","15/04/2010",0.329,0.301
"106","16/04/2010",0.329,0.273
"107","17/04/2010",0.329,0.301
"108","18/04/2010",0.356,0.273
"109","19/04/2010",0.356,0.301
"110","20/04/2010",0.467,0.356
"111","21/04/2010",0.522,0.467
"112","22/04/2010",0.605,0.522
"113","23/04/2010",1.126,0.605
"114","24/04/2010",0.989,0.687
"115","25/04/2010",0.907,0.55
"116","26/04/2010",1.153,0.715
"117","27/04/2010",1.289,0.742
"118","28/04/2010",2.047,0.907
"119","29/04/2010",2.477,1.697
"120","30/04/2010",2.61,2.047
"121","01/05/2010",2.664,2.236
"122","02/05/2010",2.423,1.071
"123","03/05/2010",1.071,0.439
"124","04/05/2010",0.467,0.218
"125","05/05/2010",0.301,0.218
"126","06/05/2010",0.329,0.163
"127","07/05/2010",0.301,0.218
"128","08/05/2010",0.273,0.218
"129","09/05/2010",0.88,0.273
"130","10/05/2010",1.071,0.66
"131","11/05/2010",0.934,0.522
"132","12/05/2010",0.577,0.495
"133","13/05/2010",0.605,0.522
"134","14/05/2010",0.522,0.412
"135","15/05/2010",0.439,0.384
"136","16/05/2010",0.412,0.384
"137","17/05/2010",0.384,0.246
"138","18/05/2010",0.412,0.273
"139","19/05/2010",0.384,0.163
"140","20/05/2010",1.262,0.246
"141","21/05/2010",1.425,0.715
"142","22/05/2010",1.724,0.77
"143","23/05/2010",1.697,0.907
"144","24/05/2010",1.453,0.852
"145","25/05/2010",1.344,0.989
"146","26/05/2010",1.534,1.18
"147","27/05/2010",1.886,1.344
"148","28/05/2010",1.913,1.615
"149","29/05/2010",3.063,1.48
"150","30/05/2010",3.538,2.396
"151","31/05/2010",3.775,2.93
"152","01/06/2010",5.36,2.983
"153","02/06/2010",4.376,3.433
"154","03/06/2010",7.116,3.327
"155","04/06/2010",6.636,3.696
"156","05/06/2010",6.965,4.194
"157","06/06/2010",4.921,4.063
"158","07/06/2010",5.872,4.063
"159","08/06/2010",6.026,4.454
