Date,Temp
01/01/2017,0.907
01/01/2017,0.907
01/01/2017,0.907
01/01/2017,0.907
01/01/2017,0.907
01/01/2017,0.907
01/01/2017,0.88
01/01/2017,0.907
01/01/2017,0.88
01/01/2017,0.852
01/01/2017,0.852
01/01/2017,0.88
01/01/2017,0.88
01/01/2017,0.852
01/01/2017,0.852
01/01/2017,0.852
01/01/2017,0.852
01/01/2017,0.77
01/01/2017,0.797
01/01/2017,0.825
01/01/2017,0.852
01/01/2017,0.825
01/01/2017,0.797
01/01/2017,0.797
01/01/2017,0.825
01/01/2017,0.825
01/01/2017,0.852
01/01/2017,0.852
01/01/2017,0.825
01/01/2017,0.797
01/01/2017,0.797
01/01/2017,0.825
01/01/2017,0.825
01/01/2017,0.852
01/01/2017,0.88
01/01/2017,0.852
01/01/2017,0.825
01/01/2017,0.825
01/01/2017,0.825
01/01/2017,0.88
01/01/2017,0.797
01/01/2017,0.825
01/01/2017,0.797
01/01/2017,0.77
01/01/2017,0.77
01/01/2017,0.797
01/01/2017,0.825
01/01/2017,0.825
02/01/2017,0.825
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.77
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.77
02/01/2017,0.742
02/01/2017,0.77
02/01/2017,0.77
02/01/2017,0.77
02/01/2017,0.77
02/01/2017,0.77
02/01/2017,0.825
02/01/2017,0.77
02/01/2017,0.742
02/01/2017,0.742
02/01/2017,0.742
02/01/2017,0.852
02/01/2017,0.77
02/01/2017,0.797
02/01/2017,0.797
02/01/2017,0.852
02/01/2017,0.88
02/01/2017,0.88
02/01/2017,0.88
02/01/2017,0.88
02/01/2017,0.852
02/01/2017,0.852
02/01/2017,0.825
02/01/2017,0.825
02/01/2017,0.77
02/01/2017,0.797
02/01/2017,0.852
02/01/2017,0.825
02/01/2017,0.825
02/01/2017,0.825
02/01/2017,0.88
03/01/2017,0.852
03/01/2017,0.797
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.825
03/01/2017,0.825
03/01/2017,0.825
03/01/2017,0.825
03/01/2017,0.825
03/01/2017,0.825
03/01/2017,0.852
03/01/2017,0.825
03/01/2017,0.797
03/01/2017,0.825
03/01/2017,0.825
03/01/2017,0.825
03/01/2017,0.825
03/01/2017,0.797
03/01/2017,0.797
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.88
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.825
03/01/2017,0.797
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.825
03/01/2017,0.852
03/01/2017,0.852
03/01/2017,0.825
03/01/2017,0.825
03/01/2017,0.825
03/01/2017,0.797
03/01/2017,0.77
03/01/2017,0.77
03/01/2017,0.77
03/01/2017,0.797
03/01/2017,0.742
04/01/2017,0.825
04/01/2017,0.77
04/01/2017,0.77
04/01/2017,0.77
04/01/2017,0.77
04/01/2017,0.797
04/01/2017,0.77
04/01/2017,0.742
04/01/2017,0.77
04/01/2017,0.797
04/01/2017,0.77
04/01/2017,0.77
04/01/2017,0.742
04/01/2017,0.715
04/01/2017,0.742
04/01/2017,0.742
04/01/2017,0.715
04/01/2017,0.687
04/01/2017,0.687
04/01/2017,0.687
04/01/2017,0.715
04/01/2017,0.742
04/01/2017,0.715
04/01/2017,0.715
04/01/2017,0.742
04/01/2017,0.715
04/01/2017,0.742
04/01/2017,0.77
04/01/2017,0.742
04/01/2017,0.77
04/01/2017,0.742
04/01/2017,0.742
04/01/2017,0.77
04/01/2017,0.797
04/01/2017,0.797
04/01/2017,0.77
04/01/2017,0.77
04/01/2017,0.742
04/01/2017,0.742
04/01/2017,0.687
04/01/2017,0.742
04/01/2017,0.77
04/01/2017,0.77
04/01/2017,0.797
04/01/2017,0.742
04/01/2017,0.742
04/01/2017,0.687
04/01/2017,0.687
05/01/2017,0.687
05/01/2017,0.687
05/01/2017,0.66
05/01/2017,0.715
05/01/2017,0.687
05/01/2017,0.687
05/01/2017,0.687
05/01/2017,0.66
05/01/2017,0.715
05/01/2017,0.715
05/01/2017,0.66
05/01/2017,0.632
05/01/2017,0.632
05/01/2017,0.632
05/01/2017,0.577
05/01/2017,0.577
05/01/2017,0.605
05/01/2017,0.632
05/01/2017,0.632
05/01/2017,0.66
05/01/2017,0.66
05/01/2017,0.632
05/01/2017,0.605
05/01/2017,0.632
05/01/2017,0.605
05/01/2017,0.605
05/01/2017,0.605
05/01/2017,0.632
05/01/2017,0.66
05/01/2017,0.687
05/01/2017,0.66
05/01/2017,0.742
05/01/2017,0.825
05/01/2017,0.797
05/01/2017,0.742
05/01/2017,0.715
05/01/2017,0.715
05/01/2017,0.687
05/01/2017,0.66
05/01/2017,0.66
05/01/2017,0.632
05/01/2017,0.632
05/01/2017,0.632
05/01/2017,0.66
05/01/2017,0.66
05/01/2017,0.66
05/01/2017,0.66
05/01/2017,0.66
06/01/2017,0.605
06/01/2017,0.605
06/01/2017,0.605
06/01/2017,0.577
06/01/2017,0.605
06/01/2017,0.577
06/01/2017,0.605
06/01/2017,0.605
06/01/2017,0.632
06/01/2017,0.605
06/01/2017,0.632
06/01/2017,0.632
06/01/2017,0.632
06/01/2017,0.632
06/01/2017,0.687
06/01/2017,0.632
06/01/2017,0.632
06/01/2017,0.632
06/01/2017,0.632
06/01/2017,0.605
06/01/2017,0.577
06/01/2017,0.577
06/01/2017,0.605
06/01/2017,0.66
06/01/2017,0.66
06/01/2017,0.66
06/01/2017,0.632
06/01/2017,0.742
06/01/2017,0.687
06/01/2017,0.825
06/01/2017,0.797
06/01/2017,0.742
06/01/2017,0.742
06/01/2017,0.742
06/01/2017,0.742
06/01/2017,0.687
06/01/2017,0.687
06/01/2017,0.687
06/01/2017,0.687
06/01/2017,0.687
06/01/2017,0.715
06/01/2017,0.715
06/01/2017,0.687
06/01/2017,0.66
06/01/2017,0.687
06/01/2017,0.632
06/01/2017,0.605
06/01/2017,0.632
07/01/2017,0.66
07/01/2017,0.605
07/01/2017,0.632
07/01/2017,0.66
07/01/2017,0.66
07/01/2017,0.66
07/01/2017,0.66
07/01/2017,0.632
07/01/2017,0.55
07/01/2017,0.605
07/01/2017,0.632
07/01/2017,0.577
07/01/2017,0.632
07/01/2017,0.577
07/01/2017,0.577
07/01/2017,0.55
07/01/2017,0.55
07/01/2017,0.55
07/01/2017,0.55
07/01/2017,0.55
07/01/2017,0.577
07/01/2017,0.55
07/01/2017,0.577
07/01/2017,0.55
07/01/2017,0.577
07/01/2017,0.632
07/01/2017,0.605
07/01/2017,0.577
07/01/2017,0.605
07/01/2017,0.577
07/01/2017,0.605
07/01/2017,0.577
07/01/2017,0.577
07/01/2017,0.605
07/01/2017,0.577
07/01/2017,0.55
07/01/2017,0.577
07/01/2017,0.577
07/01/2017,0.55
07/01/2017,0.577
07/01/2017,0.605
07/01/2017,0.577
07/01/2017,0.632
07/01/2017,0.55
07/01/2017,0.522
07/01/2017,0.522
07/01/2017,0.577
07/01/2017,0.55
08/01/2017,0.577
08/01/2017,0.55
08/01/2017,0.55
08/01/2017,0.55
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.55
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.55
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.55
08/01/2017,0.55
08/01/2017,0.55
08/01/2017,0.577
08/01/2017,0.55
08/01/2017,0.55
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.467
08/01/2017,0.467
08/01/2017,0.439
08/01/2017,0.439
08/01/2017,0.495
08/01/2017,0.55
08/01/2017,0.495
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.522
08/01/2017,0.577
08/01/2017,0.467
08/01/2017,0.439
08/01/2017,0.439
08/01/2017,0.412
08/01/2017,0.412
08/01/2017,0.412
08/01/2017,0.384
08/01/2017,0.384
08/01/2017,0.384
08/01/2017,0.412
09/01/2017,0.384
09/01/2017,0.356
09/01/2017,0.356
09/01/2017,0.329
09/01/2017,0.356
09/01/2017,0.412
09/01/2017,0.412
09/01/2017,0.412
09/01/2017,0.439
09/01/2017,0.412
09/01/2017,0.439
09/01/2017,0.467
09/01/2017,0.495
09/01/2017,0.467
09/01/2017,0.495
09/01/2017,0.495
09/01/2017,0.467
09/01/2017,0.495
09/01/2017,0.522
09/01/2017,0.522
09/01/2017,0.522
09/01/2017,0.522
09/01/2017,0.55
09/01/2017,0.55
09/01/2017,0.577
09/01/2017,0.577
09/01/2017,0.577
09/01/2017,0.605
09/01/2017,0.605
09/01/2017,0.632
09/01/2017,0.632
09/01/2017,0.715
09/01/2017,0.742
09/01/2017,0.687
09/01/2017,0.66
09/01/2017,0.687
09/01/2017,0.742
09/01/2017,0.687
09/01/2017,0.632
09/01/2017,0.632
09/01/2017,0.632
09/01/2017,0.632
09/01/2017,0.605
09/01/2017,0.55
09/01/2017,0.55
09/01/2017,0.55
09/01/2017,0.55
09/01/2017,0.577
10/01/2017,0.577
10/01/2017,0.577
10/01/2017,0.577
10/01/2017,0.577
10/01/2017,0.577
10/01/2017,0.577
10/01/2017,0.55
10/01/2017,0.55
10/01/2017,0.55
10/01/2017,0.55
10/01/2017,0.55
10/01/2017,0.55
10/01/2017,0.55
10/01/2017,0.605
10/01/2017,0.577
10/01/2017,0.577
10/01/2017,0.55
10/01/2017,0.55
10/01/2017,0.55
10/01/2017,0.522
10/01/2017,0.522
10/01/2017,0.522
10/01/2017,0.495
10/01/2017,0.495
10/01/2017,0.522
10/01/2017,0.522
10/01/2017,0.55
10/01/2017,0.55
10/01/2017,0.577
10/01/2017,0.605
10/01/2017,0.605
10/01/2017,0.632
10/01/2017,0.605
10/01/2017,0.632
10/01/2017,0.632
10/01/2017,0.605
10/01/2017,0.577
10/01/2017,0.55
10/01/2017,0.522
10/01/2017,0.522
10/01/2017,0.55
10/01/2017,0.522
10/01/2017,0.522
10/01/2017,0.495
10/01/2017,0.495
10/01/2017,0.495
10/01/2017,0.495
10/01/2017,0.495
11/01/2017,0.495
11/01/2017,0.467
11/01/2017,0.467
11/01/2017,0.467
11/01/2017,0.467
11/01/2017,0.467
11/01/2017,0.467
11/01/2017,0.439
11/01/2017,0.467
11/01/2017,0.439
11/01/2017,0.467
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.467
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.439
11/01/2017,0.467
11/01/2017,0.467
11/01/2017,0.495
11/01/2017,0.467
11/01/2017,0.467
11/01/2017,0.467
11/01/2017,0.467
11/01/2017,0.439
11/01/2017,0.412
11/01/2017,0.384
11/01/2017,0.356
11/01/2017,0.412
11/01/2017,0.439
11/01/2017,0.412
11/01/2017,0.412
11/01/2017,0.412
11/01/2017,0.412
11/01/2017,0.412
11/01/2017,0.384
