"","Date","Max","Min"
"1","01/01/2012",0.356,0.246
"2","02/01/2012",0.356,0.246
"3","03/01/2012",0.356,0.273
"4","04/01/2012",0.329,0.246
"5","05/01/2012",0.301,0.19
"6","06/01/2012",0.605,0.218
"7","07/01/2012",0.55,0.19
"8","08/01/2012",0.522,0.384
"9","09/01/2012",0.439,0.356
"10","10/01/2012",0.439,0.329
"11","11/01/2012",0.384,0.301
"12","12/01/2012",0.329,0.246
"13","13/01/2012",0.329,0.273
"14","14/01/2012",0.329,0.273
"15","15/01/2012",0.329,0.273
"16","16/01/2012",0.329,0.273
"17","17/01/2012",0.356,0.246
"18","18/01/2012",0.356,0.273
"19","19/01/2012",0.356,0.301
"20","20/01/2012",0.356,0.246
"21","21/01/2012",0.329,0.246
"22","22/01/2012",0.384,0.246
"23","23/01/2012",0.412,0.301
"24","24/01/2012",0.384,0.273
"25","25/01/2012",0.356,0.273
"26","26/01/2012",0.356,0.273
"27","27/01/2012",0.329,0.246
"28","28/01/2012",0.329,0.246
"29","29/01/2012",0.301,0.218
"30","30/01/2012",0.301,0.246
"31","31/01/2012",0.329,0.218
"32","01/02/2012",0.301,0.273
"33","02/02/2012",0.329,0.246
"34","03/02/2012",0.301,0.079
"35","04/02/2012",0.218,0.024
"36","05/02/2012",0.246,0.079
"37","06/02/2012",0.246,0.024
"38","07/02/2012",0.19,-0.004
"39","08/02/2012",0.19,-0.004
"40","09/02/2012",0.218,0.024
"41","10/02/2012",0.135,-0.004
"42","11/02/2012",0.163,0.107
"43","12/02/2012",0.163,0.051
"44","13/02/2012",0.163,0.079
"45","14/02/2012",0.135,0.051
"46","15/02/2012",0.135,0.024
"47","16/02/2012",0.135,-0.004
"48","17/02/2012",0.135,-0.004
"49","18/02/2012",0.163,0.051
"50","19/02/2012",0.163,0.051
"51","20/02/2012",0.163,0.024
"52","21/02/2012",0.163,0.107
"53","22/02/2012",0.135,0.107
"54","23/02/2012",0.135,0.107
"55","24/02/2012",0.135,0.079
"56","25/02/2012",0.135,0.107
"57","26/02/2012",0.163,0.079
"58","27/02/2012",0.135,0.107
"59","28/02/2012",0.135,0.107
"60","29/02/2012",0.135,0.107
"61","01/03/2012",0.135,0.079
"62","02/03/2012",0.135,0.107
"63","03/03/2012",0.135,0.107
"64","04/03/2012",0.135,0.079
"65","05/03/2012",0.135,0.051
"66","06/03/2012",0.163,0.079
"67","07/03/2012",0.135,0.079
"68","08/03/2012",0.135,0.024
"69","09/03/2012",0.107,0.024
"70","10/03/2012",0.107,0.024
"71","11/03/2012",0.135,0.051
"72","12/03/2012",0.135,0.079
"73","13/03/2012",0.107,0.079
"74","14/03/2012",0.135,0.024
"75","15/03/2012",0.163,0.107
"76","16/03/2012",0.19,0.107
"77","17/03/2012",0.19,0.107
"78","18/03/2012",0.19,0.107
"79","19/03/2012",0.19,0.079
"80","20/03/2012",0.135,0.079
"81","21/03/2012",0.135,0.107
"82","22/03/2012",0.135,0.107
"83","23/03/2012",0.135,0.079
"84","24/03/2012",0.218,0.079
"85","25/03/2012",0.19,0.079
"86","26/03/2012",0.163,0.107
"87","27/03/2012",0.19,0.107
"88","28/03/2012",0.218,0.163
"89","29/03/2012",0.301,0.135
"90","30/03/2012",0.301,0.107
"91","31/03/2012",0.329,0.163
"92","01/04/2012",0.412,0.19
"93","02/04/2012",0.384,0.218
"94","03/04/2012",0.356,0.218
"95","04/04/2012",0.329,0.19
"96","05/04/2012",0.301,0.19
"97","06/04/2012",0.246,0.135
"98","07/04/2012",0.218,0.135
"99","08/04/2012",0.218,0.107
"100","09/04/2012",0.163,0.107
"101","10/04/2012",0.329,0.163
"102","11/04/2012",0.301,0.218
"103","12/04/2012",0.246,0.163
"104","13/04/2012",0.218,0.135
"105","14/04/2012",0.218,0.135
"106","15/04/2012",0.19,0.079
"107","16/04/2012",0.107,0.051
"108","17/04/2012",0.19,0.051
"109","18/04/2012",0.163,0.107
"110","19/04/2012",0.163,0.107
"111","20/04/2012",0.163,0.079
"112","21/04/2012",0.135,0.079
"113","22/04/2012",0.19,0.079
"114","23/04/2012",0.19,0.135
"115","24/04/2012",0.218,0.135
"116","25/04/2012",0.163,0.079
"117","26/04/2012",0.742,0.107
"118","27/04/2012",0.522,0.329
"119","28/04/2012",0.797,0.301
"120","29/04/2012",0.989,0.356
"121","30/04/2012",0.522,0.301
"122","01/05/2012",0.384,0.246
"123","02/05/2012",0.301,0.19
"124","03/05/2012",0.356,0.19
"125","04/05/2012",0.467,0.329
"126","05/05/2012",0.467,0.329
"127","06/05/2012",0.495,0.356
"128","07/05/2012",0.467,0.329
"129","08/05/2012",0.797,0.273
"130","09/05/2012",1.235,0.852
"131","10/05/2012",1.344,0.88
"132","11/05/2012",1.724,0.852
"133","12/05/2012",3.485,1.317
"134","13/05/2012",3.591,2.289
"135","14/05/2012",4.921,2.744
"136","15/05/2012",5.949,3.142
"137","16/05/2012",6.128,2.477
"138","17/05/2012",4.869,3.142
"139","18/05/2012",5.565,3.88
"140","19/05/2012",4.714,3.985
"141","20/05/2012",4.921,2.956
"142","21/05/2012",3.036,1.099
"143","22/05/2012",3.958,0.825
"144","23/05/2012",8.27,2.823
"145","24/05/2012",8.27,4.48
"146","25/05/2012",9.854,5.642
"147","26/05/2012",9.41,6.56
"148","27/05/2012",9.46,6.535
"149","28/05/2012",10.443,6.839
"150","29/05/2012",10.638,7.066
"151","30/05/2012",10.124,6.914
"152","31/05/2012",11.102,7.67
"153","01/06/2012",13.449,8.742
"154","02/06/2012",13.738,10.1
"155","03/06/2012",12.292,8.841
"156","04/06/2012",9.952,7.745
"157","05/06/2012",13.377,7.242
"158","06/06/2012",11.37,9.238
"159","07/06/2012",11.248,9.509
"160","08/06/2012",10.614,8.295
"161","09/06/2012",8.693,6.839
"162","10/06/2012",8.419,7.745
"163","11/06/2012",9.188,7.519
"164","12/06/2012",7.82,6.56
"165","13/06/2012",8.792,6.382
"166","14/06/2012",10.443,6.433
"167","15/06/2012",12.437,8.693
"168","16/06/2012",14.194,10.418
"169","17/06/2012",15.796,11.783
"170","18/06/2012",16.487,12.654
"171","19/06/2012",14.721,12.243
"172","20/06/2012",15.533,11.2
"173","21/06/2012",14.146,11.686
"174","22/06/2012",15.366,11.151
"175","23/06/2012",16.654,12.461
"176","24/06/2012",18.01,13.257
"177","25/06/2012",18.509,14.098
"178","26/06/2012",19.175,14.792
"179","27/06/2012",19.294,15.103
"180","28/06/2012",19.674,15.724
"181","29/06/2012",18.461,15.414
"182","30/06/2012",18.2,15.27
"183","01/07/2012",15.605,10.516
"184","02/07/2012",14.433,9.682
"185","03/07/2012",16.272,11.492
"186","04/07/2012",16.058,13.618
"187","05/07/2012",14.912,13.522
"188","06/07/2012",13.57,12.292
"189","07/07/2012",15.103,12.268
"190","08/07/2012",16.439,12.413
"191","09/07/2012",18.628,13.786
"192","10/07/2012",18.105,15.796
"193","11/07/2012",17.415,15.581
"194","12/07/2012",18.343,14.29
"195","13/07/2012",18.2,14.768
"196","14/07/2012",16.82,15.652
"197","15/07/2012",15.748,14.29
"198","16/07/2012",18.604,12.799
"199","17/07/2012",18.866,14.266
"200","18/07/2012",20.174,15.151
"201","19/07/2012",20.674,16.201
"202","20/07/2012",18.985,16.677
"203","21/07/2012",17.344,15.652
"204","22/07/2012",15.819,14.194
"205","23/07/2012",18.628,13.185
"206","24/07/2012",18.652,14.385
"207","25/07/2012",20.246,15.414
"208","26/07/2012",20.603,17.082
"209","27/07/2012",20.126,17.011
"210","28/07/2012",17.724,16.415
"211","29/07/2012",18.295,15.581
"212","30/07/2012",19.865,15.342
"213","31/07/2012",21.342,16.534
"214","01/08/2012",21.223,17.296
"215","02/08/2012",20.269,17.582
"216","03/08/2012",19.722,17.249
"217","04/08/2012",19.127,17.486
"218","05/08/2012",18.247,15.605
"219","06/08/2012",16.987,14.792
"220","07/08/2012",17.819,14.05
"221","08/08/2012",20.388,14.912
"222","09/08/2012",21.724,16.034
"223","10/08/2012",21.963,17.106
"224","11/08/2012",20.698,17.962
"225","12/08/2012",19.222,17.605
"226","13/08/2012",19.96,15.963
"227","14/08/2012",20.484,16.439
"228","15/08/2012",18.105,15.819
"229","16/08/2012",17.891,14.361
"230","17/08/2012",19.722,15.414
"231","18/08/2012",20.841,16.63
"232","19/08/2012",19.698,17.177
"233","20/08/2012",18.01,16.582
