Year,Avg_Temp
2008,4.952402586
2009,5.644617432
2010,4.663464508
2011,6.723340262
2012,5.76335448
2013,8.231047011
2014,4.818798895
2015,5.752429239
2016,5.991992999
2017,5.699887055
