"","Date","Max","Min"
"1","01/01/2008",0.135,0.051
"2","02/01/2008",0.107,0.051
"3","03/01/2008",0.135,0.051
"4","04/01/2008",0.079,0.024
"5","05/01/2008",0.107,0.051
"6","06/01/2008",0.356,0.079
"7","07/01/2008",0.605,0.218
"8","08/01/2008",0.715,0.356
"9","09/01/2008",0.715,0.412
"10","10/01/2008",0.687,0.356
"11","11/01/2008",0.329,0.079
"12","12/01/2008",0.246,0.107
"13","13/01/2008",0.329,0.246
"14","14/01/2008",0.246,0.135
"15","15/01/2008",0.19,0.051
"16","16/01/2008",0.107,0.051
"17","17/01/2008",0.107,0.051
"18","18/01/2008",0.107,-0.031
"19","19/01/2008",0.19,0.079
"20","20/01/2008",0.19,0.135
"21","21/01/2008",0.19,0.135
"22","22/01/2008",0.163,0.079
"23","23/01/2008",0.163,0.051
"24","24/01/2008",0.218,0.107
"25","25/01/2008",0.163,0.079
"26","26/01/2008",0.19,0.107
"27","27/01/2008",0.19,0.107
"28","28/01/2008",0.19,0.107
"29","29/01/2008",0.19,0.107
"30","30/01/2008",0.163,0.079
"31","31/01/2008",0.107,0.079
"32","01/02/2008",0.107,0.079
"33","02/02/2008",0.107,0.079
"34","03/02/2008",0.135,-0.004
"35","04/02/2008",0.079,0.024
"36","05/02/2008",0.079,0.079
"37","06/02/2008",0.107,0.079
"38","07/02/2008",0.079,0.079
"39","08/02/2008",0.079,0.079
"40","09/02/2008",0.079,0.079
"41","10/02/2008",0.107,0.079
"42","11/02/2008",0.079,0.079
"43","12/02/2008",0.079,0.079
"44","13/02/2008",0.079,0.051
"45","14/02/2008",0.079,0.051
"46","15/02/2008",0.051,0.051
"47","16/02/2008",0.051,0.051
"48","17/02/2008",0.079,0.024
"49","18/02/2008",0.079,0.024
"50","19/02/2008",0.051,0.051
"51","20/02/2008",0.079,0.051
"52","21/02/2008",0.079,0.051
"53","22/02/2008",0.079,0.051
"54","23/02/2008",0.079,0.051
"55","24/02/2008",0.079,0.051
"56","25/02/2008",0.079,0.079
"57","26/02/2008",0.079,0.079
"58","27/02/2008",0.19,0.079
"59","28/02/2008",0.19,0.107
"60","29/02/2008",0.135,0.107
"61","01/03/2008",0.163,0.051
"62","02/03/2008",0.163,0.051
"63","03/03/2008",0.19,0.107
"64","04/03/2008",0.107,0.024
"65","05/03/2008",0.107,-0.004
"66","06/03/2008",0.024,-0.004
"67","07/03/2008",0.079,-0.004
"68","08/03/2008",0.079,-0.004
"69","09/03/2008",0.107,0.051
"70","10/03/2008",0.079,0.079
"71","11/03/2008",0.107,0.024
"72","12/03/2008",0.079,0.024
"73","13/03/2008",0.079,0.024
"74","14/03/2008",0.107,0.051
"75","15/03/2008",0.107,0.024
"76","16/03/2008",0.163,0.051
"77","17/03/2008",0.19,0.107
"78","18/03/2008",0.135,0.079
"79","19/03/2008",0.135,0.051
"80","20/03/2008",0.107,0.024
"81","21/03/2008",0.107,0.051
"82","22/03/2008",0.079,0.024
"83","23/03/2008",0.079,0.024
"84","24/03/2008",0.079,-0.004
"85","25/03/2008",0.079,-0.004
"86","26/03/2008",0.079,0.051
"87","27/03/2008",0.079,-0.004
"88","28/03/2008",0.024,-0.031
"89","29/03/2008",0.051,0.024
"90","30/03/2008",0.079,0.024
"91","31/03/2008",0.051,-0.004
"92","01/04/2008",0.079,-0.004
"93","02/04/2008",0.051,-0.004
"94","03/04/2008",0.079,0.024
"95","04/04/2008",0.079,0.024
"96","05/04/2008",0.079,0.051
"97","06/04/2008",0.079,0.051
"98","07/04/2008",0.079,0.051
"99","08/04/2008",0.107,0.051
"100","09/04/2008",0.107,0.024
