,X.,Date_Time,Temp,Coupler.Detached..LGR.S.N..10678109.,Coupler.Attached..LGR.S.N..10678109.,Stopped..LGR.S.N..10678109.,End.Of.File..LGR.S.N..10678109.,Date,Time
c..08.08.2017....15.00..,1,08/08/2017 15:00,18.176,Logged,,,,08/08/2017,1500
c..08.08.2017....15.30..,2,08/08/2017 15:30,18.224,,,,,08/08/2017,1530
c..08.08.2017....16.00..,3,08/08/2017 16:00,18.033,,,,,08/08/2017,1600
c..08.08.2017....16.30..,4,08/08/2017 16:30,17.938,,,,,08/08/2017,1630
c..08.08.2017....17.00..,5,08/08/2017 17:00,17.843,,,,,08/08/2017,1700
c..08.08.2017....17.30..,6,08/08/2017 17:30,17.724,,,,,08/08/2017,1730
c..08.08.2017....18.00..,7,08/08/2017 18:00,17.605,,,,,08/08/2017,1800
c..08.08.2017....18.30..,8,08/08/2017 18:30,17.582,,,,,08/08/2017,1830
c..08.08.2017....19.00..,9,08/08/2017 19:00,17.582,,,,,08/08/2017,1900
c..08.08.2017....19.30..,10,08/08/2017 19:30,17.558,,,,,08/08/2017,1930
c..08.08.2017....20.00..,11,08/08/2017 20:00,17.51,,,,,08/08/2017,2000
c..08.08.2017....20.30..,12,08/08/2017 20:30,17.486,,,,,08/08/2017,2030
c..08.08.2017....21.00..,13,08/08/2017 21:00,17.415,,,,,08/08/2017,2100
c..08.08.2017....21.30..,14,08/08/2017 21:30,17.415,,,,,08/08/2017,2130
c..08.08.2017....22.00..,15,08/08/2017 22:00,17.391,,,,,08/08/2017,2200
c..08.08.2017....22.30..,16,08/08/2017 22:30,17.058,,,,,08/08/2017,2230
c..08.08.2017....23.00..,17,08/08/2017 23:00,16.939,,,,,08/08/2017,2300
c..08.08.2017....23.30..,18,08/08/2017 23:30,16.939,,,,,08/08/2017,2330
c..08.09.2017....00.00..,19,08/09/2017 00:00,17.011,,,,,09/08/2017,0
c..08.09.2017....00.30..,20,08/09/2017 00:30,16.892,,,,,09/08/2017,30
c..08.09.2017....01.00..,21,08/09/2017 01:00,17.106,,,,,09/08/2017,100
c..08.09.2017....01.30..,22,08/09/2017 01:30,17.106,,,,,09/08/2017,130
c..08.09.2017....02.00..,23,08/09/2017 02:00,16.868,,,,,09/08/2017,200
c..08.09.2017....02.30..,24,08/09/2017 02:30,16.63,,,,,09/08/2017,230
c..08.09.2017....03.00..,25,08/09/2017 03:00,16.939,,,,,09/08/2017,300
c..08.09.2017....03.30..,26,08/09/2017 03:30,16.963,,,,,09/08/2017,330
c..08.09.2017....04.00..,27,08/09/2017 04:00,16.915,,,,,09/08/2017,400
c..08.09.2017....04.30..,28,08/09/2017 04:30,16.773,,,,,09/08/2017,430
c..08.09.2017....05.00..,29,08/09/2017 05:00,16.725,,,,,09/08/2017,500
c..08.09.2017....05.30..,30,08/09/2017 05:30,16.463,,,,,09/08/2017,530
c..08.09.2017....06.00..,31,08/09/2017 06:00,16.558,,,,,09/08/2017,600
c..08.09.2017....06.30..,32,08/09/2017 06:30,16.534,,,,,09/08/2017,630
c..08.09.2017....07.00..,33,08/09/2017 07:00,16.439,,,,,09/08/2017,700
c..08.09.2017....07.30..,34,08/09/2017 07:30,16.654,,,,,09/08/2017,730
c..08.09.2017....08.00..,35,08/09/2017 08:00,16.606,,,,,09/08/2017,800
c..08.09.2017....08.30..,36,08/09/2017 08:30,16.963,,,,,09/08/2017,830
c..08.09.2017....09.00..,37,08/09/2017 09:00,17.058,,,,,09/08/2017,900
c..08.09.2017....09.30..,38,08/09/2017 09:30,17.153,,,,,09/08/2017,930
c..08.09.2017....10.00..,39,08/09/2017 10:00,17.272,,,,,09/08/2017,1000
c..08.09.2017....10.30..,40,08/09/2017 10:30,17.13,,,,,09/08/2017,1030
c..08.09.2017....11.00..,41,08/09/2017 11:00,17.13,,,,,09/08/2017,1100
c..08.09.2017....11.30..,42,08/09/2017 11:30,17.106,,,,,09/08/2017,1130
c..08.09.2017....12.00..,43,08/09/2017 12:00,17.106,,,,,09/08/2017,1200
c..08.09.2017....12.30..,44,08/09/2017 12:30,17.058,,,,,09/08/2017,1230
c..08.09.2017....13.00..,45,08/09/2017 13:00,17.058,,,,,09/08/2017,1300
c..08.09.2017....13.30..,46,08/09/2017 13:30,17.082,,,,,09/08/2017,1330
c..08.09.2017....14.00..,47,08/09/2017 14:00,17.058,,,,,09/08/2017,1400
c..08.09.2017....14.30..,48,08/09/2017 14:30,17.034,,,,,09/08/2017,1430
c..08.09.2017....15.00..,49,08/09/2017 15:00,17.106,,,,,09/08/2017,1500
c..08.09.2017....15.30..,50,08/09/2017 15:30,17.106,,,,,09/08/2017,1530
c..08.09.2017....16.00..,51,08/09/2017 16:00,17.13,,,,,09/08/2017,1600
c..08.09.2017....16.30..,52,08/09/2017 16:30,17.177,,,,,09/08/2017,1630
c..08.09.2017....17.00..,53,08/09/2017 17:00,17.058,,,,,09/08/2017,1700
c..08.09.2017....17.30..,54,08/09/2017 17:30,17.011,,,,,09/08/2017,1730
c..08.09.2017....18.00..,55,08/09/2017 18:00,16.892,,,,,09/08/2017,1800
c..08.09.2017....18.30..,56,08/09/2017 18:30,16.82,,,,,09/08/2017,1830
c..08.09.2017....19.00..,57,08/09/2017 19:00,16.82,,,,,09/08/2017,1900
c..08.09.2017....19.30..,58,08/09/2017 19:30,16.773,,,,,09/08/2017,1930
c..08.09.2017....20.00..,59,08/09/2017 20:00,16.749,,,,,09/08/2017,2000
c..08.09.2017....20.30..,60,08/09/2017 20:30,16.654,,,,,09/08/2017,2030
c..08.09.2017....21.00..,61,08/09/2017 21:00,16.654,,,,,09/08/2017,2100
c..08.09.2017....21.30..,62,08/09/2017 21:30,16.606,,,,,09/08/2017,2130
c..08.09.2017....22.00..,63,08/09/2017 22:00,16.582,,,,,09/08/2017,2200
c..08.09.2017....22.30..,64,08/09/2017 22:30,16.487,,,,,09/08/2017,2230
c..08.09.2017....23.00..,65,08/09/2017 23:00,16.463,,,,,09/08/2017,2300
c..08.09.2017....23.30..,66,08/09/2017 23:30,16.487,,,,,09/08/2017,2330
c..08.10.2017....00.00..,67,08/10/2017 00:00,16.487,,,,,10/08/2017,0
c..08.10.2017....00.30..,68,08/10/2017 00:30,16.487,,,,,10/08/2017,30
c..08.10.2017....01.00..,69,08/10/2017 01:00,16.439,,,,,10/08/2017,100
c..08.10.2017....01.30..,70,08/10/2017 01:30,16.439,,,,,10/08/2017,130
c..08.10.2017....02.00..,71,08/10/2017 02:00,16.392,,,,,10/08/2017,200
c..08.10.2017....02.30..,72,08/10/2017 02:30,16.344,,,,,10/08/2017,230
c..08.10.2017....03.00..,73,08/10/2017 03:00,16.32,,,,,10/08/2017,300
c..08.10.2017....03.30..,74,08/10/2017 03:30,16.249,,,,,10/08/2017,330
c..08.10.2017....04.00..,75,08/10/2017 04:00,16.272,,,,,10/08/2017,400
c..08.10.2017....04.30..,76,08/10/2017 04:30,16.225,,,,,10/08/2017,430
c..08.10.2017....05.00..,77,08/10/2017 05:00,16.225,,,,,10/08/2017,500
c..08.10.2017....05.30..,78,08/10/2017 05:30,16.153,,,,,10/08/2017,530
c..08.10.2017....06.00..,79,08/10/2017 06:00,16.058,,,,,10/08/2017,600
c..08.10.2017....06.30..,80,08/10/2017 06:30,16.082,,,,,10/08/2017,630
c..08.10.2017....07.00..,81,08/10/2017 07:00,16.034,,,,,10/08/2017,700
c..08.10.2017....07.30..,82,08/10/2017 07:30,16.01,,,,,10/08/2017,730
c..08.10.2017....08.00..,83,08/10/2017 08:00,16.01,,,,,10/08/2017,800
c..08.10.2017....08.30..,84,08/10/2017 08:30,16.01,,,,,10/08/2017,830
c..08.10.2017....09.00..,85,08/10/2017 09:00,15.986,,,,,10/08/2017,900
c..08.10.2017....09.30..,86,08/10/2017 09:30,16.034,,,,,10/08/2017,930
c..08.10.2017....10.00..,87,08/10/2017 10:00,15.986,,,,,10/08/2017,1000
c..08.10.2017....10.30..,88,08/10/2017 10:30,15.915,,,,,10/08/2017,1030
c..08.10.2017....11.00..,89,08/10/2017 11:00,15.963,,,,,10/08/2017,1100
c..08.10.2017....11.30..,90,08/10/2017 11:30,15.963,,,,,10/08/2017,1130
c..08.10.2017....12.00..,91,08/10/2017 12:00,15.986,,,,,10/08/2017,1200
c..08.10.2017....12.30..,92,08/10/2017 12:30,16.058,,,,,10/08/2017,1230
c..08.10.2017....13.00..,93,08/10/2017 13:00,15.891,,,,,10/08/2017,1300
c..08.10.2017....13.30..,94,08/10/2017 13:30,15.939,,,,,10/08/2017,1330
c..08.10.2017....14.00..,95,08/10/2017 14:00,16.058,,,,,10/08/2017,1400
c..08.10.2017....14.30..,96,08/10/2017 14:30,16.01,,,,,10/08/2017,1430
c..08.10.2017....15.00..,97,08/10/2017 15:00,15.939,,,,,10/08/2017,1500
c..08.10.2017....15.30..,98,08/10/2017 15:30,15.891,,,,,10/08/2017,1530
c..08.10.2017....16.00..,99,08/10/2017 16:00,15.843,,,,,10/08/2017,1600
c..08.10.2017....16.30..,100,08/10/2017 16:30,15.891,,,,,10/08/2017,1630
c..08.10.2017....17.00..,101,08/10/2017 17:00,15.891,,,,,10/08/2017,1700
c..08.10.2017....17.30..,102,08/10/2017 17:30,15.843,,,,,10/08/2017,1730
c..08.10.2017....18.00..,103,08/10/2017 18:00,15.867,,,,,10/08/2017,1800
c..08.10.2017....18.30..,104,08/10/2017 18:30,15.819,,,,,10/08/2017,1830
c..08.10.2017....19.00..,105,08/10/2017 19:00,15.748,,,,,10/08/2017,1900
c..08.10.2017....19.30..,106,08/10/2017 19:30,15.7,,,,,10/08/2017,1930
c..08.10.2017....20.00..,107,08/10/2017 20:00,15.605,,,,,10/08/2017,2000
c..08.10.2017....20.30..,108,08/10/2017 20:30,15.7,,,,,10/08/2017,2030
c..08.10.2017....21.00..,109,08/10/2017 21:00,15.652,,,,,10/08/2017,2100
c..08.10.2017....21.30..,110,08/10/2017 21:30,15.629,,,,,10/08/2017,2130
c..08.10.2017....22.00..,111,08/10/2017 22:00,15.629,,,,,10/08/2017,2200
c..08.10.2017....22.30..,112,08/10/2017 22:30,15.557,,,,,10/08/2017,2230
c..08.10.2017....23.00..,113,08/10/2017 23:00,15.39,,,,,10/08/2017,2300
c..08.10.2017....23.30..,114,08/10/2017 23:30,15.485,,,,,10/08/2017,2330
c..08.11.2017....00.00..,115,08/11/2017 00:00,15.39,,,,,11/08/2017,0
c..08.11.2017....00.30..,116,08/11/2017 00:30,15.438,,,,,11/08/2017,30
c..08.11.2017....01.00..,117,08/11/2017 01:00,15.39,,,,,11/08/2017,100
c..08.11.2017....01.30..,118,08/11/2017 01:30,15.342,,,,,11/08/2017,130
c..08.11.2017....02.00..,119,08/11/2017 02:00,15.366,,,,,11/08/2017,200
c..08.11.2017....02.30..,120,08/11/2017 02:30,15.294,,,,,11/08/2017,230
c..08.11.2017....03.00..,121,08/11/2017 03:00,15.342,,,,,11/08/2017,300
c..08.11.2017....03.30..,122,08/11/2017 03:30,15.318,,,,,11/08/2017,330
c..08.11.2017....04.00..,123,08/11/2017 04:00,15.247,,,,,11/08/2017,400
c..08.11.2017....04.30..,124,08/11/2017 04:30,15.199,,,,,11/08/2017,430
c..08.11.2017....05.00..,125,08/11/2017 05:00,15.223,,,,,11/08/2017,500
