,X.,Date_Time,Temp,Batt..V..,Coupler.Detached..,Coupler.Attached..,Stopped..,End.Of.File..,Date,Time
c..09.05.2011....16.19..,65,09/05/2011 16:19,16.701,3.6,,,,,05/09/2011,1619
c..09.05.2011....16.49..,66,09/05/2011 16:49,16.606,3.6,,,,,05/09/2011,1649
c..09.05.2011....17.19..,67,09/05/2011 17:19,16.534,3.6,,,,,05/09/2011,1719
c..09.05.2011....17.49..,68,09/05/2011 17:49,16.463,3.6,,,,,05/09/2011,1749
c..09.05.2011....18.19..,69,09/05/2011 18:19,16.392,3.6,,,,,05/09/2011,1819
c..09.05.2011....18.49..,70,09/05/2011 18:49,16.296,3.6,,,,,05/09/2011,1849
c..09.05.2011....19.19..,71,09/05/2011 19:19,16.225,3.6,,,,,05/09/2011,1919
c..09.05.2011....19.49..,72,09/05/2011 19:49,16.153,3.6,,,,,05/09/2011,1949
c..09.05.2011....20.19..,73,09/05/2011 20:19,16.106,3.6,,,,,05/09/2011,2019
c..09.05.2011....20.49..,74,09/05/2011 20:49,16.058,3.6,,,,,05/09/2011,2049
c..09.05.2011....21.19..,75,09/05/2011 21:19,15.963,3.6,,,,,05/09/2011,2119
c..09.05.2011....21.49..,76,09/05/2011 21:49,15.867,3.6,,,,,05/09/2011,2149
c..09.05.2011....22.19..,77,09/05/2011 22:19,15.891,3.6,,,,,05/09/2011,2219
c..09.05.2011....22.49..,78,09/05/2011 22:49,15.867,3.6,,,,,05/09/2011,2249
c..09.05.2011....23.19..,79,09/05/2011 23:19,15.819,3.6,,,,,05/09/2011,2319
c..09.05.2011....23.49..,80,09/05/2011 23:49,15.796,3.6,,,,,05/09/2011,2349
c..09.06.2011....00.19..,81,09/06/2011 00:19,15.605,3.6,,,,,06/09/2011,19
c..09.06.2011....00.49..,82,09/06/2011 00:49,15.652,3.6,,,,,06/09/2011,49
c..09.06.2011....01.19..,83,09/06/2011 01:19,15.438,3.6,,,,,06/09/2011,119
c..09.06.2011....01.49..,84,09/06/2011 01:49,15.318,3.6,,,,,06/09/2011,149
c..09.06.2011....02.19..,85,09/06/2011 02:19,15.318,3.6,,,,,06/09/2011,219
c..09.06.2011....02.49..,86,09/06/2011 02:49,15.342,3.6,,,,,06/09/2011,249
c..09.06.2011....03.19..,87,09/06/2011 03:19,15.27,3.6,,,,,06/09/2011,319
c..09.06.2011....03.49..,88,09/06/2011 03:49,15.438,3.6,,,,,06/09/2011,349
c..09.06.2011....04.19..,89,09/06/2011 04:19,15.318,3.57,,,,,06/09/2011,419
c..09.06.2011....04.49..,90,09/06/2011 04:49,15.581,3.6,,,,,06/09/2011,449
c..09.06.2011....05.19..,91,09/06/2011 05:19,15.605,3.6,,,,,06/09/2011,519
c..09.06.2011....05.49..,92,09/06/2011 05:49,15.533,3.6,,,,,06/09/2011,549
c..09.06.2011....06.19..,93,09/06/2011 06:19,15.533,3.6,,,,,06/09/2011,619
c..09.06.2011....06.49..,94,09/06/2011 06:49,15.605,3.6,,,,,06/09/2011,649
c..09.06.2011....07.19..,95,09/06/2011 07:19,15.629,3.6,,,,,06/09/2011,719
c..09.06.2011....07.49..,96,09/06/2011 07:49,15.581,3.6,,,,,06/09/2011,749
c..09.06.2011....08.19..,97,09/06/2011 08:19,15.557,3.6,,,,,06/09/2011,819
c..09.06.2011....08.49..,98,09/06/2011 08:49,15.676,3.6,,,,,06/09/2011,849
c..09.06.2011....09.19..,99,09/06/2011 09:19,15.724,3.6,,,,,06/09/2011,919
c..09.06.2011....09.49..,100,09/06/2011 09:49,15.915,3.6,,,,,06/09/2011,949
c..09.06.2011....10.19..,101,09/06/2011 10:19,16.106,3.6,,,,,06/09/2011,1019
c..09.06.2011....10.49..,102,09/06/2011 10:49,16.249,3.6,,,,,06/09/2011,1049
c..09.06.2011....11.19..,103,09/06/2011 11:19,16.272,3.6,,,,,06/09/2011,1119
c..09.06.2011....11.49..,104,09/06/2011 11:49,16.296,3.6,,,,,06/09/2011,1149
c..09.06.2011....12.19..,105,09/06/2011 12:19,16.415,3.6,,,,,06/09/2011,1219
c..09.06.2011....12.49..,106,09/06/2011 12:49,16.487,3.6,,,,,06/09/2011,1249
c..09.06.2011....13.19..,107,09/06/2011 13:19,16.511,3.6,,,,,06/09/2011,1319
c..09.06.2011....13.49..,108,09/06/2011 13:49,16.463,3.6,,,,,06/09/2011,1349
c..09.06.2011....14.19..,109,09/06/2011 14:19,16.677,3.6,,,,,06/09/2011,1419
c..09.06.2011....14.49..,110,09/06/2011 14:49,16.725,3.6,,,,,06/09/2011,1449
c..09.06.2011....15.19..,111,09/06/2011 15:19,16.844,3.6,,,,,06/09/2011,1519
c..09.06.2011....15.49..,112,09/06/2011 15:49,16.892,3.6,,,,,06/09/2011,1549
c..09.06.2011....16.19..,113,09/06/2011 16:19,16.939,3.6,,,,,06/09/2011,1619
c..09.06.2011....16.49..,114,09/06/2011 16:49,16.915,3.6,,,,,06/09/2011,1649
c..09.06.2011....17.19..,115,09/06/2011 17:19,16.868,3.6,,,,,06/09/2011,1719
c..09.06.2011....17.49..,116,09/06/2011 17:49,16.844,3.6,,,,,06/09/2011,1749
c..09.06.2011....18.19..,117,09/06/2011 18:19,16.749,3.6,,,,,06/09/2011,1819
c..09.06.2011....18.49..,118,09/06/2011 18:49,16.511,3.6,,,,,06/09/2011,1849
c..09.06.2011....19.19..,119,09/06/2011 19:19,16.392,3.6,,,,,06/09/2011,1919
c..09.06.2011....19.49..,120,09/06/2011 19:49,16.415,3.6,,,,,06/09/2011,1949
c..09.06.2011....20.19..,121,09/06/2011 20:19,16.368,3.6,,,,,06/09/2011,2019
c..09.06.2011....20.49..,122,09/06/2011 20:49,16.272,3.6,,,,,06/09/2011,2049
c..09.06.2011....21.19..,123,09/06/2011 21:19,16.201,3.6,,,,,06/09/2011,2119
c..09.06.2011....21.49..,124,09/06/2011 21:49,16.225,3.6,,,,,06/09/2011,2149
