,X.,Date_Time,Temp,Logged,X,X.1,X.2,X.3,X.4,Date,Time
c..07.27.14....08.00.38...1,61,07/27/14 08:00:38,17.486,3.6,,,,,,27/07/2014,81238
c..07.27.14....08.30.38...1,62,07/27/14 08:30:38,17.082,3.57,,,,,,27/07/2014,84238
c..07.27.14....09.00.38...1,63,07/27/14 09:00:38,17.034,3.57,,,,,,27/07/2014,91238
c..07.27.14....09.30.38...1,64,07/27/14 09:30:38,16.915,3.57,,,,,,27/07/2014,94238
c..07.27.14....10.00.38...1,65,07/27/14 10:00:38,16.749,3.57,,,,,,27/07/2014,101238
c..07.27.14....10.30.38...1,66,07/27/14 10:30:38,16.82,3.57,,,,,,27/07/2014,104238
c..07.27.14....11.00.38...1,67,07/27/14 11:00:38,16.654,3.57,,,,,,27/07/2014,111238
c..07.27.14....11.30.38...1,68,07/27/14 11:30:38,16.487,3.57,,,,,,27/07/2014,114238
c..07.28.14....12.00.38..,69,07/28/14 12:00:38,16.177,3.57,,,,,,28/07/2014,120038
c..07.28.14....12.30.38..,70,07/28/14 12:30:38,15.986,3.57,,,,,,28/07/2014,123038
c..07.28.14....01.00.38..,71,07/28/14 01:00:38,16.249,3.57,,,,,,28/07/2014,10038
c..07.28.14....01.30.38..,72,07/28/14 01:30:38,16.201,3.57,,,,,,28/07/2014,13038
c..07.28.14....02.00.38..,73,07/28/14 02:00:38,16.201,3.57,,,,,,28/07/2014,20038
c..07.28.14....02.30.38..,74,07/28/14 02:30:38,16.058,3.57,,,,,,28/07/2014,23038
c..07.28.14....03.00.38..,75,07/28/14 03:00:38,15.748,3.57,,,,,,28/07/2014,30038
c..07.28.14....03.30.38..,76,07/28/14 03:30:38,15.772,3.57,,,,,,28/07/2014,33038
c..07.28.14....04.00.38..,77,07/28/14 04:00:38,15.819,3.57,,,,,,28/07/2014,40038
c..07.28.14....04.30.38..,78,07/28/14 04:30:38,15.772,3.57,,,,,,28/07/2014,43038
c..07.28.14....05.00.38..,79,07/28/14 05:00:38,15.509,3.57,,,,,,28/07/2014,50038
c..07.28.14....05.30.38..,80,07/28/14 05:30:38,15.485,3.57,,,,,,28/07/2014,53038
c..07.28.14....06.00.38..,81,07/28/14 06:00:38,15.294,3.57,,,,,,28/07/2014,60038
c..07.28.14....06.30.38..,82,07/28/14 06:30:38,15.366,3.57,,,,,,28/07/2014,63038
c..07.28.14....07.00.38..,83,07/28/14 07:00:38,14.816,3.6,,,,,,28/07/2014,70038
c..07.28.14....07.30.38..,84,07/28/14 07:30:38,15.031,3.6,,,,,,28/07/2014,73038
c..07.28.14....08.00.38..,85,07/28/14 08:00:38,14.912,3.6,,,,,,28/07/2014,80038
c..07.28.14....08.30.38..,86,07/28/14 08:30:38,15.27,3.57,,,,,,28/07/2014,83038
c..07.28.14....09.00.38..,87,07/28/14 09:00:38,15.366,3.57,,,,,,28/07/2014,90038
c..07.28.14....09.30.38..,88,07/28/14 09:30:38,15.533,3.57,,,,,,28/07/2014,93038
c..07.28.14....10.00.38..,89,07/28/14 10:00:38,15.986,3.57,,,,,,28/07/2014,100038
c..07.28.14....10.30.38..,90,07/28/14 10:30:38,16.129,3.57,,,,,,28/07/2014,103038
c..07.28.14....11.00.38..,91,07/28/14 11:00:38,16.32,3.57,,,,,,28/07/2014,110038
c..07.28.14....11.30.38..,92,07/28/14 11:30:38,16.272,3.57,,,,,,28/07/2014,113038
c..07.28.14....12.00.38...1,93,07/28/14 12:00:38,16.487,3.57,,,,,,28/07/2014,121238
c..07.28.14....12.30.38...1,94,07/28/14 12:30:38,16.463,3.57,,,,,,28/07/2014,124238
c..07.28.14....01.00.38...1,95,07/28/14 01:00:38,16.487,3.57,,,,,,28/07/2014,11238
c..07.28.14....01.30.38...1,96,07/28/14 01:30:38,16.511,3.57,,,,,,28/07/2014,14238
c..07.28.14....02.00.38...1,97,07/28/14 02:00:38,16.415,3.57,,,,,,28/07/2014,21238
c..07.28.14....02.30.38...1,98,07/28/14 02:30:38,16.439,3.57,,,,,,28/07/2014,24238
c..07.28.14....03.00.38...1,99,07/28/14 03:00:38,16.439,3.57,,,,,,28/07/2014,31238
c..07.28.14....03.30.38...1,100,07/28/14 03:30:38,16.392,3.57,,,,,,28/07/2014,34238
