Year,Avg_Temp
2007,7.909203544
2008,4.298761554
2009,6.394083857
2010,5.883888813
2011,7.932438099
2012,6.083677305
2013,9.71132141
2014,5.852729143
2015,7.748821566
2016,7.190932889
2017,7.467768607
2018,4.46652705
