"","Date","Max","Min"
"1","26/07/2014",18.295,14.792
"2","27/07/2014",18.461,15.031
"3","28/07/2014",16.558,14.816
"4","29/07/2014",16.868,13.978
"5","30/07/2014",16.749,13.353
"6","31/07/2014",17.724,13.233
"7","01/08/2014",18.271,13.93
"8","02/08/2014",17.701,14.266
"9","03/08/2014",17.082,13.714
"10","04/08/2014",17.034,14.074
"11","05/08/2014",17.51,14.481
"12","06/08/2014",17.058,14.601
"13","07/08/2014",17.13,15.175
"14","08/08/2014",17.225,15.079
"15","09/08/2014",17.796,14.96
"16","10/08/2014",17.986,14.577
"17","11/08/2014",18.39,15.175
"18","12/08/2014",18.224,14.888
"19","13/08/2014",17.249,14.816
"20","14/08/2014",17.058,14.481
"21","15/08/2014",16.701,14.337
"22","16/08/2014",16.749,14.218
"23","17/08/2014",16.153,13.666
"24","18/08/2014",16.01,13.377
"25","19/08/2014",16.129,13.858
"26","20/08/2014",15.939,13.546
"27","21/08/2014",15.748,14.218
"28","22/08/2014",15.27,14.17
"29","23/08/2014",16.511,13.257
"30","24/08/2014",15.605,13.281
"31","25/08/2014",16.01,13.04
"32","26/08/2014",15.819,12.461
"33","27/08/2014",14.098,12.63
"34","28/08/2014",13.714,12.316
"35","29/08/2014",13.69,12.751
"36","30/08/2014",13.762,12.751
"37","31/08/2014",14.433,12.509
"38","01/09/2014",14.098,12.558
"39","02/09/2014",14.194,12.485
"40","03/09/2014",13.906,12.219
"41","04/09/2014",13.666,11.662
"42","05/09/2014",13.353,11.904
"43","06/09/2014",12.944,11.977
"44","07/09/2014",12.243,11.005
"45","08/09/2014",11.856,11.419
"46","09/09/2014",11.807,11.248
"47","10/09/2014",11.783,11.005
"48","11/09/2014",11.127,10.345
"49","12/09/2014",10.687,10.075
"50","13/09/2014",10.663,10.051
"51","14/09/2014",10.345,9.682
"52","15/09/2014",10.443,10.001
"53","16/09/2014",10.883,9.78
"54","17/09/2014",11.078,9.657
"55","18/09/2014",10.907,9.731
"56","19/09/2014",10.907,9.608
"57","20/09/2014",10.956,10.026
"58","21/09/2014",10.296,9.682
"59","22/09/2014",10.173,9.386
"60","23/09/2014",10.173,9.262
"61","24/09/2014",10.638,9.262
"62","25/09/2014",11.053,9.386
"63","26/09/2014",10.394,8.965
"64","27/09/2014",10.222,9.015
"65","28/09/2014",11.029,9.064
"66","29/09/2014",11.005,9.089
"67","30/09/2014",10.247,8.941
"68","01/10/2014",10.222,8.866
"69","02/10/2014",10.271,8.444
"70","03/10/2014",9.262,8.295
"71","04/10/2014",8.866,8.17
"72","05/10/2014",8.519,8.095
"73","06/10/2014",8.394,7.87
"74","07/10/2014",8.295,7.544
"75","08/10/2014",7.895,6.965
"76","09/10/2014",7.845,7.116
"77","10/10/2014",7.92,6.433
"78","11/10/2014",6.737,6.306
"79","12/10/2014",6.99,5.872
"80","13/10/2014",6.864,5.975
"81","14/10/2014",6.535,6.102
"82","15/10/2014",6.23,5.514
"83","16/10/2014",5.77,5.024
"84","17/10/2014",5.745,4.818
"85","18/10/2014",5.77,4.454
"86","19/10/2014",6.128,4.402
