"","Date","Max","Min"
"1","01/01/2010",0.632,0.384
"2","02/01/2010",0.495,0.439
"3","03/01/2010",0.412,0.384
"4","04/01/2010",0.412,0.384
"5","05/01/2010",0.384,0.356
"6","06/01/2010",0.384,0.356
"7","07/01/2010",0.356,0.19
"8","08/01/2010",0.19,0.107
"9","09/01/2010",0.218,0.135
"10","10/01/2010",0.301,0.218
"11","11/01/2010",0.301,0.273
"12","12/01/2010",0.273,0.246
"13","13/01/2010",0.246,0.163
"14","14/01/2010",0.246,0.079
"15","15/01/2010",0.218,0.079
"16","16/01/2010",0.246,0.19
"17","17/01/2010",0.218,0.19
"18","18/01/2010",0.301,0.246
"19","19/01/2010",0.301,0.273
"20","20/01/2010",0.301,0.19
"21","21/01/2010",0.273,0.163
"22","22/01/2010",0.273,0.273
"23","23/01/2010",0.273,0.273
"24","24/01/2010",0.273,0.246
"25","25/01/2010",0.246,0.218
"26","26/01/2010",0.246,0.079
"27","27/01/2010",0.19,0.107
"28","28/01/2010",0.19,0.135
"29","29/01/2010",0.19,0.107
"30","30/01/2010",0.19,0.107
"31","31/01/2010",0.19,0.19
"32","01/02/2010",0.19,0.19
"33","02/02/2010",0.218,0.19
"34","03/02/2010",0.19,0.19
"35","04/02/2010",0.19,0.135
"36","05/02/2010",0.163,0.107
"37","06/02/2010",0.163,0.079
"38","07/02/2010",0.163,0.079
"39","08/02/2010",0.163,0.163
"40","09/02/2010",0.163,0.135
"41","10/02/2010",0.135,0.079
"42","11/02/2010",0.107,-0.004
"43","12/02/2010",0.107,0.024
"44","13/02/2010",0.135,0.107
"45","14/02/2010",0.135,0.107
"46","15/02/2010",0.107,0.107
"47","16/02/2010",0.135,0.107
"48","17/02/2010",0.135,0.107
"49","18/02/2010",0.135,0.135
"50","19/02/2010",0.135,0.107
"51","20/02/2010",0.135,0.107
"52","21/02/2010",0.107,0.079
"53","22/02/2010",0.107,0.079
"54","23/02/2010",0.107,0.079
"55","24/02/2010",0.107,0.051
"56","25/02/2010",0.107,0.051
"57","26/02/2010",0.135,0.024
"58","27/02/2010",0.135,-0.031
"59","28/02/2010",0.079,-0.031
"60","01/03/2010",0.107,0.079
"61","02/03/2010",0.107,0.079
"62","03/03/2010",0.163,0.107
"63","04/03/2010",0.135,0.135
"64","05/03/2010",0.135,0.107
"65","06/03/2010",0.135,0.107
"66","07/03/2010",0.107,0.107
"67","08/03/2010",0.107,0.079
"68","09/03/2010",0.107,0.051
"69","10/03/2010",0.079,0.051
"70","11/03/2010",0.107,0.079
"71","12/03/2010",0.107,0.079
"72","13/03/2010",0.079,0.079
"73","14/03/2010",0.079,0.079
"74","15/03/2010",0.107,0.079
"75","16/03/2010",0.107,0.079
"76","17/03/2010",0.107,0.079
"77","18/03/2010",0.107,0.079
"78","19/03/2010",0.107,0.024
"79","20/03/2010",0.079,0.051
"80","21/03/2010",0.135,0.051
"81","22/03/2010",0.135,0.135
"82","23/03/2010",0.135,0.135
"83","24/03/2010",0.163,0.107
"84","25/03/2010",0.107,-0.004
"85","26/03/2010",0.163,0.024
"86","27/03/2010",0.19,0.107
"87","28/03/2010",0.19,0.079
"88","29/03/2010",0.163,0.051
"89","30/03/2010",0.107,0.051
"90","31/03/2010",0.163,0.107
"91","01/04/2010",0.19,0.163
"92","02/04/2010",0.19,0.163
"93","03/04/2010",0.19,0.107
"94","04/04/2010",0.163,0.135
"95","05/04/2010",0.163,0.135
"96","06/04/2010",0.19,0.107
"97","07/04/2010",0.218,0.135
"98","08/04/2010",0.218,0.079
"99","09/04/2010",0.135,0.079
"100","10/04/2010",0.19,0.079
"101","11/04/2010",0.107,0.079
"102","12/04/2010",0.079,0.079
"103","13/04/2010",0.107,0.079
"104","14/04/2010",0.135,0.107
"105","15/04/2010",0.163,0.107
"106","16/04/2010",0.135,0.079
"107","17/04/2010",0.107,0.079
"108","18/04/2010",0.107,0.079
"109","19/04/2010",0.107,0.079
"110","20/04/2010",0.107,0.079
"111","21/04/2010",0.107,0.079
"112","22/04/2010",0.079,0.079
"113","23/04/2010",0.079,0.079
"114","24/04/2010",0.107,0.079
"115","25/04/2010",0.107,0.051
"116","26/04/2010",0.107,0.024
"117","27/04/2010",0.19,0.024
"118","28/04/2010",0.577,0.163
"119","29/04/2010",0.934,0.246
"120","30/04/2010",1.126,0.439
"121","01/05/2010",1.832,0.825
"122","02/05/2010",1.832,0.907
"123","03/05/2010",1.071,0.135
"124","04/05/2010",0.107,-0.031
"125","05/05/2010",0.079,-0.031
"126","06/05/2010",0.107,-0.004
"127","07/05/2010",0.135,0.107
"128","08/05/2010",0.107,0.079
"129","09/05/2010",0.107,0.051
"130","10/05/2010",0.329,0.079
"131","11/05/2010",0.356,0.107
"132","12/05/2010",0.495,0.135
"133","13/05/2010",0.384,0.163
"134","14/05/2010",0.135,0.107
"135","15/05/2010",0.135,0.024
"136","16/05/2010",0.107,0.079
"137","17/05/2010",0.079,0.051
"138","18/05/2010",0.107,0.051
"139","19/05/2010",0.107,-0.031
"140","20/05/2010",0.605,-0.031
"141","21/05/2010",1.453,0.246
"142","22/05/2010",2.956,0.687
"143","23/05/2010",3.036,1.778
"144","24/05/2010",4.895,1.859
"145","25/05/2010",4.792,2.155
"146","26/05/2010",4.063,2.85
"147","27/05/2010",5.205,2.85
"148","28/05/2010",4.74,3.696
"149","29/05/2010",6.382,3.512
"150","30/05/2010",6.813,5.102
"151","31/05/2010",6.153,5.282
"152","01/06/2010",7.645,5.308
"153","02/06/2010",7.845,5.872
"154","03/06/2010",9.41,6.281
"155","04/06/2010",10.98,7.268
"156","05/06/2010",10.418,8.245
"157","06/06/2010",10.956,10.026
"158","07/06/2010",11.346,10.001
"159","08/06/2010",10.932,10.198
"160","09/06/2010",10.198,8.941
"161","10/06/2010",9.064,7.82
"162","11/06/2010",8.245,7.645
"163","12/06/2010",8.394,7.619
"164","13/06/2010",9.485,7.795
"165","14/06/2010",8.841,8.27
"166","15/06/2010",8.245,7.645
"167","16/06/2010",8.643,7.519
"168","17/06/2010",8.394,7.569
"169","18/06/2010",8.27,7.72
"170","19/06/2010",7.72,7.393
"171","20/06/2010",7.343,6.535
"172","21/06/2010",7.594,6.331
"173","22/06/2010",9.064,6.458
"174","23/06/2010",10.883,7.242
"175","24/06/2010",12.025,8.419
"176","25/06/2010",15.533,10.271
"177","26/06/2010",14.553,12.678
"178","27/06/2010",13.882,12.364
"179","28/06/2010",14.649,12.871
"180","29/06/2010",15.414,13.233
"181","30/06/2010",16.439,14.098
"182","01/07/2010",17.938,13.858
"183","02/07/2010",16.677,15.008
"184","03/07/2010",17.034,15.629
"185","04/07/2010",19.341,15.819
"186","05/07/2010",19.222,16.272
"187","06/07/2010",17.915,15.629
"188","07/07/2010",17.986,15.414
"189","08/07/2010",18.533,16.415
"190","09/07/2010",18.366,16.439
"191","10/07/2010",19.413,16.749
"192","11/07/2010",19.674,17.701
"193","12/07/2010",19.413,17.368
"194","13/07/2010",19.365,17.249
"195","14/07/2010",18.343,16.344
"196","15/07/2010",18.366,15.986
"197","16/07/2010",18.271,16.082
"198","17/07/2010",18.557,16.582
"199","18/07/2010",19.008,16.296
"200","19/07/2010",20.341,17.463
"201","20/07/2010",19.103,17.51
"202","21/07/2010",18.699,17.439
"203","22/07/2010",17.748,16.606
"204","23/07/2010",16.987,15.629
"205","24/07/2010",16.987,15.103
"206","25/07/2010",15.318,14.29
"207","26/07/2010",14.337,13.642
"208","27/07/2010",17.486,13.401
"209","28/07/2010",17.843,14.481
"210","29/07/2010",16.606,15.127
"211","30/07/2010",17.439,14.577
"212","31/07/2010",17.296,14.912
"213","01/08/2010",17.629,15.652
"214","02/08/2010",17.034,16.01
"215","03/08/2010",16.153,15.247
"216","04/08/2010",15.796,14.888
"217","05/08/2010",15.39,14.457
"218","06/08/2010",16.677,14.026
"219","07/08/2010",16.725,13.93
"220","08/08/2010",17.034,15.031
"221","09/08/2010",17.034,15.199
"222","10/08/2010",17.32,14.84
"223","11/08/2010",17.368,15.318
"224","12/08/2010",16.725,15.7
"225","13/08/2010",15.939,14.96
"226","14/08/2010",15.652,14.433
"227","15/08/2010",15.461,13.834
"228","16/08/2010",15.509,13.882
"229","17/08/2010",15.629,14.098
"230","18/08/2010",15.772,14.05
"231","19/08/2010",15.676,14.361
"232","20/08/2010",18.057,14.553
"233","21/08/2010",18.2,15.031
"234","22/08/2010",17.415,15.676
"235","23/08/2010",17.439,15.605
"236","24/08/2010",17.962,16.034
"237","25/08/2010",17.415,15.199
"238","26/08/2010",17.486,15.127
"239","27/08/2010",17.701,15.509
"240","28/08/2010",17.463,16.129
"241","29/08/2010",17.011,15.509
"242","30/08/2010",16.534,14.912
"243","31/08/2010",16.01,14.385
"244","01/09/2010",15.819,14.481
"245","02/09/2010",16.415,14.984
"246","03/09/2010",16.392,14.745
"247","04/09/2010",17.225,14.601
"248","05/09/2010",16.487,14.433
"249","06/09/2010",16.225,14.433
"250","07/09/2010",15.127,13.978
"251","08/09/2010",14.912,14.194
"252","09/09/2010",14.314,13.618
"253","10/09/2010",15.438,13.281
"254","11/09/2010",14.84,13.257
"255","12/09/2010",15.342,13.57
"256","13/09/2010",14.984,13.353
"257","14/09/2010",15.342,13.04
"258","15/09/2010",15.008,12.968
"259","16/09/2010",13.858,12.992
"260","17/09/2010",13.618,13.112
"261","18/09/2010",13.088,12.485
"262","19/09/2010",13.497,11.807
"263","20/09/2010",13.353,11.346
"264","21/09/2010",14.002,12.413
"265","22/09/2010",13.69,12.219
"266","23/09/2010",13.425,12.534
"267","24/09/2010",12.944,12.268
"268","25/09/2010",12.243,11.443
"269","26/09/2010",11.929,10.614
"270","27/09/2010",11.783,10.394
"271","28/09/2010",11.783,10.1
"272","29/09/2010",12.485,10.369
"273","30/09/2010",11.443,10.124
"274","01/10/2010",11.394,9.952
"275","02/10/2010",11.662,10.124
