"","Date","Max","Min"
"1","04/09/2011",25.428,15.581
"2","05/09/2011",16.749,15.796
"3","06/09/2011",16.939,15.27
"4","07/09/2011",17.724,15.414
"5","08/09/2011",17.891,15.533
"6","09/09/2011",16.892,14.768
"7","10/09/2011",16.939,14.864
"8","11/09/2011",16.344,14.721
"9","12/09/2011",17.819,15.175
"10","13/09/2011",18.033,15.342
"11","14/09/2011",17.011,15.629
"12","15/09/2011",17.249,15.7
"13","16/09/2011",16.987,15.438
"14","17/09/2011",17.034,15.461
"15","18/09/2011",16.225,15.39
"16","19/09/2011",15.509,14.529
"17","20/09/2011",15.605,14.266
"18","21/09/2011",15.915,13.93
"19","22/09/2011",15.7,14.457
"20","23/09/2011",15.438,14.002
"21","24/09/2011",15.294,14.146
"22","25/09/2011",15.605,14.098
"23","26/09/2011",16.177,14.194
"24","27/09/2011",15.199,13.786
"25","28/09/2011",15.247,14.098
"26","29/09/2011",15.438,13.882
"27","30/09/2011",15.39,14.05
"28","01/10/2011",15.294,13.786
"29","02/10/2011",15.772,13.69
"30","03/10/2011",15.485,13.69
"31","04/10/2011",15.223,14.05
"32","05/10/2011",14.96,13.786
"33","06/10/2011",14.649,13.57
"34","07/10/2011",13.738,12.847
"35","08/10/2011",12.847,11.783
"36","09/10/2011",12.413,11.346
"37","10/10/2011",14.098,11.321
"38","11/10/2011",13.618,11.54
"39","12/10/2011",13.834,11.492
"40","13/10/2011",13.088,11.467
"41","14/10/2011",12.847,10.858
"42","15/10/2011",12.243,11.029
"43","16/10/2011",12.316,10.834
"44","17/10/2011",12.195,10.247
"45","18/10/2011",12.509,10.394
"46","19/10/2011",11.394,10.638
"47","20/10/2011",11.005,9.977
"48","21/10/2011",10.932,9.632
"49","22/10/2011",10.687,9.262
"50","23/10/2011",10.051,8.519
"51","24/10/2011",9.238,8.444
"52","25/10/2011",8.866,8.394
"53","26/10/2011",8.717,7.695
"54","27/10/2011",8.17,7.645
"55","28/10/2011",8.841,8.095
"56","29/10/2011",8.618,7.97
"57","30/10/2011",8.792,7.745
"58","31/10/2011",8.916,7.569
"59","01/11/2011",8.444,7.945
"60","02/11/2011",8.095,7.594
"61","03/11/2011",7.77,7.343
"62","04/11/2011",7.444,7.142
"63","05/11/2011",7.318,6.737
"64","06/11/2011",6.813,6.433
"65","07/11/2011",6.839,6.382
"66","08/11/2011",7.745,6.357
"67","09/11/2011",7.066,6.179
"68","10/11/2011",6.99,6.306
"69","11/11/2011",7.268,6.077
"70","12/11/2011",7.192,6.179
"71","13/11/2011",7.142,5.975
"72","14/11/2011",7.066,6.102
"73","15/11/2011",6.636,5.796
"74","16/11/2011",6.737,5.949
"75","17/11/2011",6.535,5.488
"76","18/11/2011",5.949,5.385
"77","19/11/2011",6.281,4.844
"78","20/11/2011",6.23,5.308
